MovieTtile,Description,Duration,Genre,DirectorsName,Ratings,Stars,FilmingDate
Avengers: Endgame,"    After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",181 min,"Action, Adventure, Drama            ","Anthony Russo, ",8.4,"['| ', '    Stars:', 'Robert Downey Jr., ', 'Chris Evans, ', 'Mark Ruffalo, ', 'Chris Hemsworth']",(2019)
Casablanca,    A cynical American expatriate struggles to decide whether or not he should help his former lover and her fugitive husband escape French Morocco.,102 min,"Drama, Romance, War            ",Michael Curtiz,8.5,"['    Stars:', 'Humphrey Bogart, ', 'Ingrid Bergman, ', 'Paul Henreid, ', 'Claude Rains']",(1942)
Grave of the Fireflies,    A young boy and his little sister struggle to survive in Japan during World War II.,89 min,"Animation, Drama, War            ",Isao Takahata,8.5,"['    Stars:', 'Tsutomu Tatsumi, ', 'Ayano Shiraishi, ']",(1988)
Rear Window,    A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,112 min,"Mystery, Thriller            ",Alfred Hitchcock,8.4,"['    Stars:', 'James Stewart, ', 'Grace Kelly, ', 'Wendell Corey, ', 'Thelma Ritter']",(1954)
Cinema Paradiso,    A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,155 min,Drama            ,Giuseppe Tornatore,8.5,"['    Stars:', 'Philippe Noiret, ', 'Enzo Cannavale, ', 'Antonella Attili, ', 'Isa Danieli']",(1988)
Alien,"    After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun.",117 min,"Horror, Sci-Fi            ",Ridley Scott,8.4,"['    Stars:', 'Sigourney Weaver, ', 'Tom Skerritt, ', 'John Hurt, ', 'Veronica Cartwright']",(1979)
Raiders of the Lost Ark,"    In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers.",115 min,"Action, Adventure            ",Steven Spielberg,8.4,"['    Stars:', 'Harrison Ford, ', 'Karen Allen, ', 'Paul Freeman, ', 'John Rhys-Davies']",(1981)
Memento,    A man with short-term memory loss attempts to track down his wife's murderer.,113 min,"Mystery, Thriller            ",Christopher Nolan,8.4,"['    Stars:', 'Guy Pearce, ', 'Carrie-Anne Moss, ', 'Joe Pantoliano, ', 'Mark Boone Junior']",(2000)
Apocalypse Now,    A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,147 min,"Drama, Mystery, War            ",Francis Ford Coppola,8.4,"['    Stars:', 'Martin Sheen, ', 'Marlon Brando, ', 'Robert Duvall, ', 'Frederic Forrest']",(1979)
The Great Dictator,| ,125 min,"Comedy, Drama, War            ","Charles Chaplin, ",8.4,"['Jack Oakie, ', 'Reginald Gardiner']",(1940)
